Rammys attacks	Damage on impact	Cooldown	Effects	Range	Anticipation time	Attack time	Total attack time	Splash radius	Attack degree	Raw DPS	DPS with cooldown	Attack time with cooldown
Horn sweep+	47,6	5	Knockback	12	0,5	0,5	1	12	180	47,6	7,93	6
Body slam+	12,6	12	Knockback	25	1	2	3	5	90	4,2	0,84	15
Multiplier	1,5											
Charge Dash+	15	5	Push, Knockback, Mud slide	20	3	2	5	2	180	3	1,50	10
Stomp AOE+	39	6	Knockback, Stun	10	1	0,5	1,5	5	360	26,00	5,20	7,5
Horn spin+	36	7	Knockback	16	0,5	3	3,5	2	360	10,29	3,43	10,5
Horn pull+	12	10	Pull, Stun	16	0,5	2	2,5	16	360	4,8	0,96	12,5
Horn sweep+	51	5	Knockback	12	0,5	0,5	1	12	180	51	8,50	6
Body slam+	13,5	12	Knockback	25	1	2	3	5	90	4,5	0,90	15
Multiplier	1,6											
Charge Dash+	16	5	Push, Knockback, Mud slide	20	3	2	5	2	180	3,2	1,60	10
Stomp AOE+	41,6	6	Knockback, Stun	10	1	0,5	1,5	5	360	27,73	5,55	7,5
Horn spin+	38,4	7	Knockback	16	0,5	3	3,5	2	360	10,97	3,66	10,5
Horn pull+	12,8	10	Pull, Stun	16	0,5	2	2,5	16	360	5,12	1,02	12,5
Horn sweep+	54,4	5	Knockback	12	0,5	0,5	1	12	180	54,4	9,07	6
Body slam+	14,4	12	Knockback	25	1	2	3	5	90	4,8	0,96	15
Multiplier	1,7											
Charge Dash+	17	5	Push, Knockback, Mud slide	20	3	2	5	2	180	3,4	1,70	10
Stomp AOE+	44,2	6	Knockback, Stun	10	1	0,5	1,5	5	360	29,47	5,89	7,5
Horn spin+	40,8	7	Knockback	16	0,5	3	3,5	2	360	11,66	3,89	10,5
Horn pull+	13,6	10	Pull, Stun	16	0,5	2	2,5	16	360	5,44	1,09	12,5
Horn sweep+	57,8	5	Knockback	12	0,5	0,5	1	12	180	57,8	9,63	6
Body slam+	15,3	12	Knockback	25	1	2	3	5	90	5,1	1,02	15
Multiplier	1,8											
Charge Dash+	18	5	Push, Knockback, Mud slide	20	3	2	5	2	180	3,6	1,80	10
Stomp AOE+	46,8	6	Knockback, Stun	10	1	0,5	1,5	5	360	31,20	6,24	7,5
Horn spin+	43,2	7	Knockback	16	0,5	3	3,5	2	360	12,34	4,11	10,5
Horn pull+	14,4	10	Pull, Stun	16	0,5	2	2,5	16	360	5,76	1,15	12,5
Horn sweep+	61,2	5	Knockback	12	0,5	0,5	1	12	180	61,2	10,20	6
Body slam+	16,2	12	Knockback	25	1	2	3	5	90	5,4	1,08	15
Multiplier	1,9											
Charge Dash+	19	5	Push, Knockback, Mud slide	20	3	2	5	2	180	3,8	1,90	10
Stomp AOE+	49,4	6	Knockback, Stun	10	1	0,5	1,5	5	360	32,93	6,59	7,5
Horn spin+	45,6	7	Knockback	16	0,5	3	3,5	2	360	13,03	4,34	10,5
Horn pull+	15,2	10	Pull, Stun	16	0,5	2	2,5	16	360	6,08	1,22	12,5
Horn sweep+	64,6	5	Knockback	12	0,5	0,5	1	12	180	64,6	10,77	6
Body slam+	17,1	12	Knockback	25	1	2	3	5	90	5,7	1,14	15
Multiplier	2											
Charge Dash+	20	5	Push, Knockback, Mud slide	20	3	2	5	2	180	4	2	10
Stomp AOE+	52	6	Knockback, Stun	10	1	0,5	1,5	5	360	34,67	6,93	7,5
Horn spin+	48	7	Knockback	16	0,5	3	3,5	2	360	13,71	4,57	10,5
Horn pull+	16	10	Pull, Stun	16	0,5	2	2,5	16	360	6,4	1,28	12,5
Horn sweep+	68	5	Knockback	12	0,5	0,5	1	12	180	68	11,33	6
Body slam+	18	12	Knockback	25	1	2	3	5	90	6	1,20	15
